名称,所属地产公司,所属区,落成年份,最近翻新,是否有育婴室,是否在网站平面图标注,是否在官网有标注,具体楼层,到升降梯距离（女生步数）,到地铁站距离,是否与卫生间隔开,是否有（舒适）座椅,座椅类型,是否有更换尿布枱,尿布枱是否附有凸邊,尿布枱是否附有可抹拭軟墊,是否有洗涤槽,水龍頭是否为自動感應開關,梘液供應器是否为自動感應開關,是否有干手设备，如纸巾供应机,废物箱,小型侧桌，放置物品用,电源插头,额外设施,BBGAGA URL,商场URL,note：yes1/no0,
SOGO 崇光百貨(銅鑼灣),,铜锣湾,,,1,1,1,L7,,20,1,0,单人硬椅,1,1,1,1,0,0,0,1,1,1,抺手紙,,https://www.sogo.com.hk/cwb/tc/shopping-directory/floor-plan.php?id=10,,
樂富廣場,,九龍,,,1,,,"Uniqlo 試身室, Zone A L3 , Zone B LG2, Zone B L1, Zone B L2",,40,1,1,单人沙发椅,1,1,0,1,0,0,0,0,1,0,,,https://bbgaga.com/babyroom/%E6%A8%82%E5%AF%8C%E5%BB%A3%E5%A0%B4,,
K11,新世界百货,油尖旺区,,,1,0,1,L1,,46,,1,,1,1,1,1,1,,,1,1,1,"暖奶器，電掣
，抺手紙
秤，濕紙巾, 紙巾，Lotion，爽身粉",,https://hk.k11.com/zh-hk/visit/,,
形点,新鸿基地产,元朗区,,,1,1,1,"L1, L2, L3",,47,1,1,单人沙发座,1,1,1,1,1,1,1,1,1,1,暖奶器,https://bbgaga.com/babyroom/YOHO%20MALL%20%E5%BD%A2%E9%BB%9E%201,https://www.yohomall.hk/tch/main/about/#floorplan,,
新港城中心,恒基兆業地產,沙田区,,,1,1,1,"L2,L3",,57,1,1,沙发座,1,1,1,1,,,,,,,暖奶器,,https://www.mostown.com.hk/tc/about/floor-directory/,,
时代广场,九龙仓置业地产,湾仔区,,,1,0,0,"L6,L9",,58,1,1,单人沙发座，长沙发座,1,1,1,1,1,1,,1,1,1,"暖奶器,電掣",,https://www.timessquare.com.hk/floor_plan?lang=zh,,
又一城,豐樹產業,九龙塘区,,,1,1,1,"MTR, LG1, LG2, UG, L1, L2",70,59,1,1,单人沙发座,1,1,1,1,1,1,1,1,1,1,濕紙巾,https://bbgaga.com/babyroom/%E5%8F%88%E4%B8%80%E5%9F%8E,https://www.festivalwalk.com.hk/tc/sitemap.aspx,,
朗豪坊,鷹君集團有限公司,油尖旺区,,,1,1,1,"L4,L5,L6,L7",90,72,1,1,单人硬椅,1,0,1,1,1,0,1,1,0,1,,https://bbgaga.com/babyroom/%E6%9C%97%E8%B1%AA%E5%9D%8A,,,
荷里活廣場,九龙仓置业地产,黄大仙区,,,1,1,1,L3,180,94,,,,,,,,,,,,,,,,https://www.plazahollywood.com.hk/tc/floorplans,,
彩園廣場,,新界,,,1,,,"GF,1F",,94,1,1,沙发长椅,1,1,0,1,1,1,0,1,1,0,,,https://bbgaga.com/babyroom/%E5%BD%A9%E5%9C%92%E5%BB%A3%E5%A0%B4,,
